wilayah,tahun,ipm,kemiskinan,geo_name
Seram Bagian Timur,2023,65.82,21.08,SERAM BAGIAN TIMUR
Seram Bagian Timur,2024,66.24,21.03,SERAM BAGIAN TIMUR
Serang,2015,64.61,5.09,KOTA SERANG
Serang,2016,65.12,4.58,KOTA SERANG
Serang,2017,65.6,4.63,KOTA SERANG
Serang,2018,65.93,4.3,KOTA SERANG
Serang,2019,66.38,4.08,KOTA SERANG
Serang,2020,66.7,4.94,KOTA SERANG
Serang,2021,66.82,5.49,KOTA SERANG
Serang,2022,67.75,4.96,KOTA SERANG
Serang,2023,68.39,4.85,KOTA SERANG
Serang,2024,69.03,4.51,KOTA SERANG
Serdang Bedagai,2015,68.01,9.59,SERDANG BEDAGAI
Serdang Bedagai,2016,68.77,9.53,SERDANG BEDAGAI
Serdang Bedagai,2017,69.16,9.3,SERDANG BEDAGAI
Serdang Bedagai,2018,69.69,8.22,SERDANG BEDAGAI
Serdang Bedagai,2019,70.21,7.9,SERDANG BEDAGAI
Serdang Bedagai,2020,70.24,7.97,SERDANG BEDAGAI
Serdang Bedagai,2021,70.56,8.3,SERDANG BEDAGAI
Serdang Bedagai,2022,71.21,7.82,SERDANG BEDAGAI
Serdang Bedagai,2023,71.75,7.44,SERDANG BEDAGAI
Serdang Bedagai,2024,72.47,6.97,SERDANG BEDAGAI
Seruyan,2015,64.77,8.5,SERUYAN
Seruyan,2016,65.4,8.08,SERUYAN
Seruyan,2017,66.14,7.46,SERUYAN
Seruyan,2018,67.04,7.43,SERUYAN
Seruyan,2019,67.57,7.19,SERUYAN
Seruyan,2020,67.58,6.85,SERUYAN
Seruyan,2021,67.67,7.22,SERUYAN
Seruyan,2022,68.24,7.43,SERUYAN
Seruyan,2023,68.68,7.12,SERUYAN
Seruyan,2024,69.05,7.08,SERUYAN
Siak,2015,72.17,5.67,SIAK
Siak,2016,72.7,5.52,SIAK
Siak,2017,73.18,5.8,SIAK
Siak,2018,73.73,5.44,SIAK
Siak,2019,74.07,5.03,SIAK
Siak,2020,73.68,5.09,SIAK
Siak,2021,73.98,5.18,SIAK
Siak,2022,74.5,5.07,SIAK
Siak,2023,74.98,5.23,SIAK
Siak,2024,75.45,5.08,SIAK
Siau Tagulandang Biaro,2015,65.0,10.93,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2016,65.66,10.58,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2017,66.03,10.33,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2018,66.75,9.87,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2019,67.48,9.56,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2020,67.64,8.94,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2021,68.05,8.94,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2022,68.94,8.2,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2023,69.57,8.76,SIAU TAGULANDANG BIARO
Siau Tagulandang Biaro,2024,70.31,8.32,SIAU TAGULANDANG BIARO
Sidenreng Rappang,2015,69.0,5.55,SIDENRENG RAPPANG
Sidenreng Rappang,2016,69.39,5.45,SIDENRENG RAPPANG
Sidenreng Rappang,2017,69.84,5.32,SIDENRENG RAPPANG
Sidenreng Rappang,2018,70.6,5.16,SIDENRENG RAPPANG
Sidenreng Rappang,2019,71.05,4.79,SIDENRENG RAPPANG
Sidenreng Rappang,2020,71.21,5.05,SIDENRENG RAPPANG
Sidenreng Rappang,2021,71.54,5.04,SIDENRENG RAPPANG
Sidenreng Rappang,2022,72.06,5.11,SIDENRENG RAPPANG
Sidenreng Rappang,2023,72.71,5.14,SIDENRENG RAPPANG
Sidenreng Rappang,2024,73.21,5.02,SIDENRENG RAPPANG
Sidoarjo,2015,77.43,6.44,SIDOARJO
Sidoarjo,2016,78.17,6.39,SIDOARJO
Sidoarjo,2017,78.7,6.23,SIDOARJO
Sidoarjo,2018,79.5,5.69,SIDOARJO
Sidoarjo,2019,80.05,5.32,SIDOARJO
Sidoarjo,2020,80.29,5.59,SIDOARJO
Sidoarjo,2021,80.65,5.93,SIDOARJO
Sidoarjo,2022,81.02,5.36,SIDOARJO
Sidoarjo,2023,81.55,5.0,SIDOARJO
Sidoarjo,2024,82.31,4.53,SIDOARJO
Sigi,2015,65.35,12.75,SIGI
Sigi,2016,65.95,12.76,SIGI
Sigi,2017,66.72,12.66,SIGI
Sigi,2018,67.66,12.6,SIGI
Sigi,2019,68.16,12.91,SIGI
Sigi,2020,68.12,12.45,SIGI
Sigi,2021,68.49,13.05,SIGI
Sigi,2022,69.05,12.3,SIGI
Sigi,2023,69.93,12.83,SIGI
Sigi,2024,70.51,12.06,SIGI
Sijunjung,2015,65.3,7.87,SIJUNJUNG
Sijunjung,2016,66.01,7.6,SIJUNJUNG
Sijunjung,2017,66.6,7.35,SIJUNJUNG
Sijunjung,2018,66.97,7.11,SIJUNJUNG
Sijunjung,2019,67.66,7.04,SIJUNJUNG
Sijunjung,2020,67.74,6.78,SIJUNJUNG
Sijunjung,2021,67.86,6.8,SIJUNJUNG
Sijunjung,2022,68.69,6.0,SIJUNJUNG
Sijunjung,2023,69.65,5.88,SIJUNJUNG
Sijunjung,2024,70.23,5.78,SIJUNJUNG
Sikka,2015,61.81,14.28,SIKKA
Sikka,2016,62.42,14.33,SIKKA
Sikka,2017,63.08,14.2,SIKKA
Sikka,2018,63.89,13.82,SIKKA
Sikka,2019,64.75,13.53,SIKKA
Sikka,2020,65.11,13.12,SIKKA
Sikka,2021,65.41,13.35,SIKKA
Sikka,2022,66.06,12.61,SIKKA
Sikka,2023,66.89,12.56,SIKKA
Sikka,2024,67.41,11.89,SIKKA
Simalungun,2015,71.24,10.96,SIMALUNGUN
Simalungun,2016,71.48,10.81,SIMALUNGUN
Simalungun,2017,71.83,10.65,SIMALUNGUN
Simalungun,2018,72.49,9.31,SIMALUNGUN
Simalungun,2019,72.98,8.81,SIMALUNGUN
Simalungun,2020,73.25,8.46,SIMALUNGUN
Simalungun,2021,73.4,8.81,SIMALUNGUN
Simalungun,2022,73.77,8.26,SIMALUNGUN
Simalungun,2023,74.29,7.87,SIMALUNGUN
Simalungun,2024,74.97,7.72,SIMALUNGUN
Simeulue,2015,63.16,20.43,SIMEULUE
Simeulue,2016,63.82,19.93,SIMEULUE
Simeulue,2017,64.41,20.2,SIMEULUE
Simeulue,2018,64.74,19.78,SIMEULUE
Simeulue,2019,65.7,18.99,SIMEULUE
Simeulue,2020,66.03,18.49,SIMEULUE
Simeulue,2021,66.41,18.98,SIMEULUE
Simeulue,2022,67.27,18.37,SIMEULUE
