wilayah,tahun,ipm,kemiskinan,geo_name
Aceh Barat,2015,68.41,21.46,ACEH BARAT
Aceh Barat,2016,69.26,20.38,ACEH BARAT
Aceh Barat,2017,70.2,20.28,ACEH BARAT
Aceh Barat,2018,70.47,19.31,ACEH BARAT
Aceh Barat,2019,71.22,18.79,ACEH BARAT
Aceh Barat,2020,71.38,18.34,ACEH BARAT
Aceh Barat,2021,71.67,18.81,ACEH BARAT
Aceh Barat,2022,72.34,17.93,ACEH BARAT
Aceh Barat,2023,72.88,17.86,ACEH BARAT
Aceh Barat,2024,73.69,17.6,ACEH BARAT
Aceh Barat Daya,2015,63.77,18.25,ACEH BARAT DAYA
Aceh Barat Daya,2016,64.57,18.03,ACEH BARAT DAYA
Aceh Barat Daya,2017,65.09,18.31,ACEH BARAT DAYA
Aceh Barat Daya,2018,65.67,17.1,ACEH BARAT DAYA
Aceh Barat Daya,2019,66.56,16.26,ACEH BARAT DAYA
Aceh Barat Daya,2020,66.75,15.93,ACEH BARAT DAYA
Aceh Barat Daya,2021,66.99,16.34,ACEH BARAT DAYA
Aceh Barat Daya,2022,67.41,15.44,ACEH BARAT DAYA
Aceh Barat Daya,2023,68.07,15.43,ACEH BARAT DAYA
Aceh Barat Daya,2024,68.75,15.32,ACEH BARAT DAYA
Aceh Besar,2015,71.7,15.93,ACEH BESAR
Aceh Besar,2016,71.75,15.55,ACEH BESAR
Aceh Besar,2017,72.0,15.41,ACEH BESAR
Aceh Besar,2018,72.73,14.47,ACEH BESAR
Aceh Besar,2019,73.55,13.92,ACEH BESAR
Aceh Besar,2020,73.56,13.84,ACEH BESAR
Aceh Besar,2021,73.58,14.05,ACEH BESAR
Aceh Besar,2022,74.0,13.38,ACEH BESAR
Aceh Besar,2023,74.53,13.38,ACEH BESAR
Aceh Besar,2024,75.13,13.21,ACEH BESAR
Aceh Jaya,2015,67.53,15.93,ACEH JAYA
Aceh Jaya,2016,67.7,15.01,ACEH JAYA
Aceh Jaya,2017,68.07,14.85,ACEH JAYA
Aceh Jaya,2018,68.83,14.16,ACEH JAYA
Aceh Jaya,2019,69.74,13.36,ACEH JAYA
Aceh Jaya,2020,69.75,12.87,ACEH JAYA
Aceh Jaya,2021,69.84,13.23,ACEH JAYA
Aceh Jaya,2022,70.36,12.51,ACEH JAYA
Aceh Jaya,2023,70.88,12.42,ACEH JAYA
Aceh Jaya,2024,71.83,12.25,ACEH JAYA
Aceh Selatan,2015,63.28,13.24,ACEH SELATAN
Aceh Selatan,2016,64.13,13.48,ACEH SELATAN
Aceh Selatan,2017,65.03,14.07,ACEH SELATAN
Aceh Selatan,2018,65.92,14.01,ACEH SELATAN
Aceh Selatan,2019,66.9,13.09,ACEH SELATAN
Aceh Selatan,2020,67.12,12.87,ACEH SELATAN
Aceh Selatan,2021,67.44,13.18,ACEH SELATAN
Aceh Selatan,2022,67.87,12.43,ACEH SELATAN
Aceh Selatan,2023,68.44,12.1,ACEH SELATAN
Aceh Selatan,2024,69.1,12.02,ACEH SELATAN
Aceh Singkil,2015,66.05,21.72,ACEH SINGKIL
Aceh Singkil,2016,66.96,21.6,ACEH SINGKIL
Aceh Singkil,2017,67.37,22.11,ACEH SINGKIL
Aceh Singkil,2018,68.02,21.25,ACEH SINGKIL
Aceh Singkil,2019,68.91,20.78,ACEH SINGKIL
Aceh Singkil,2020,68.94,20.2,ACEH SINGKIL
Aceh Singkil,2021,69.22,20.36,ACEH SINGKIL
Aceh Singkil,2022,69.62,19.18,ACEH SINGKIL
Aceh Singkil,2023,70.14,19.15,ACEH SINGKIL
Aceh Singkil,2024,70.75,19.06,ACEH SINGKIL
Aceh Tamiang,2015,67.03,14.57,ACEH TAMIANG
Aceh Tamiang,2016,67.41,14.51,ACEH TAMIANG
Aceh Tamiang,2017,67.99,14.69,ACEH TAMIANG
Aceh Tamiang,2018,68.45,14.21,ACEH TAMIANG
Aceh Tamiang,2019,69.23,13.38,ACEH TAMIANG
Aceh Tamiang,2020,69.24,13.08,ACEH TAMIANG
Aceh Tamiang,2021,69.48,13.34,ACEH TAMIANG
Aceh Tamiang,2022,70.43,12.61,ACEH TAMIANG
Aceh Tamiang,2023,71.35,12.51,ACEH TAMIANG
Aceh Tamiang,2024,72.32,12.17,ACEH TAMIANG
Aceh Tengah,2015,71.51,17.51,ACEH TENGAH
